HASC_1,Max,Mean,Min
AL.BE,0.0,0.0,0.0
AL.DB,0.07263859361410141,0.002547578773106897,0.0
AL.DU,0.0015217391774058342,0.00021739130994925896,0.0
AL.EB,0.0,0.0,0.0
AL.FI,0.0004347825888544321,1.5527949601944003e-05,0.0
AL.GK,0.003478260710835457,0.00011473429751478964,0.0
AL.KE,0.007748335599899292,0.0002899615858702666,0.0
AL.KK,0.07263859361410141,0.002360857769496233,0.0
AL.LZ,0.07263859361410141,0.008058889226522297,0.0
AL.SD,0.07043478637933731,0.0047375583660323175,0.0
AL.TI,0.0015217391774058342,0.00017713366024610068,0.0
AL.VR,0.0023029695730656385,2.9812539996933347e-05,0.0
