HASC_1,Max,Mean,Min
CL.AI,0.4614127278327942,0.008337432928350466,0.0
CL.AN,0.2187131941318512,0.003324728354577385,0.0
CL.AR,0.026157427579164505,0.0011715735143422213,0.0
CL.AP,0.24078574776649475,0.02874555265034761,0.0
CL.AT,0.21736043691635132,0.002359626566241929,0.0
CL.BI,0.1259574443101883,0.0004916220648796767,0.0
CL.CO,0.22535060346126556,0.0074395261414387905,0.0
CL.LI,0.027155743911862373,0.0001388424291060521,0.0
CL.LL,0.5666245818138123,0.012816282415283204,0.0
CL.LR,0.03012528084218502,0.00365505655442233,0.0
CL.MA,1.638221263885498,0.06904269574128359,0.0
CL.ML,0.008936169557273388,4.608493180109399e-05,0.0
CL.NB,0.012942682951688766,0.00017762850703264356,0.0
CL.RM,0.41318902373313904,0.0049354183652862305,0.0
CL.TA,0.10060066729784012,0.004862060287646743,0.0
CL.VS,0.4932868778705597,8.949008486155333e-05,0.0
