HASC_1,Max,Mean,Min
CN.AH,1.9381921291351318,0.11943109734216076,0.0
CN.BJ,0.19753333926200867,0.030969307889652995,0.0
CN.CQ,0.09555555880069733,0.0031791349651516944,0.0
CN.FJ,1.7977548837661743,0.022809733552780292,0.0
CN.GS,0.1262769103050232,0.00015151337322791945,0.0
CN.GD,0.6817999482154846,0.0034130665229722148,0.0
CN.GX,0.30430954694747925,0.002123800748591606,0.0
CN.GZ,0.10580973327159882,0.0013241430006601187,0.0
CN.HA,0.03428199514746666,0.0003937614814783795,0.0
CN.HB,2.1368625164031982,0.13227603307084415,0.0
CN.HL,0.10616666823625565,0.0005642396916718424,0.0
CN.HE,0.7817527651786804,0.03320668830907992,0.0
CN.HU,0.34504690766334534,0.007321682977397712,0.0
CN.HN,0.0917586162686348,0.0039667664644704404,0.0
CN.JS,2.054039239883423,0.16471026827441,0.0
CN.JX,0.5312594175338745,0.025693994499136653,0.0
CN.JL,0.6568222045898438,0.03347651696269897,0.0
CN.LN,0.7044723629951477,0.04044220061880377,0.0
CN.NM,0.15483331680297852,0.0005335170888590272,0.0
CN.NX,0.05882710963487625,0.0004239535065754471,0.0
CN.QH,0.3124888837337494,0.0003790704084421318,0.0
CN.SA,0.08418029546737671,0.0017628166610384906,0.0
CN.SD,1.6965508460998535,0.24498065753219503,0.0
CN.SH,1.4980415105819702,0.08920630813642805,0.0
CN.SX,0.7458244562149048,0.04004771797188762,0.0
CN.SC,0.3652011454105377,0.003304511959793184,0.0
CN.TJ,0.7963603734970093,0.11313121694267965,0.0
CN.XJ,0.09444443881511688,7.743640838071046e-05,0.0
CN.XZ,2.6675331592559814,0.014361000934473234,0.0
CN.YN,0.4190555214881897,0.0010947556239717725,0.0
CN.ZJ,1.4377226829528809,0.021318605269918755,0.0
