HASC_1,Max,Mean,Min
HR.BB,0.07306446135044098,0.016573182657941596,0.0
HR.SP,0.024830365553498268,0.003964706278054564,0.0
HR.DN,0.18106535077095032,0.013830840680047576,0.0
HR.GZ,0.27984926104545593,0.056982053288569055,0.0
HR.IS,0.07782061398029327,0.008395280388853621,0.0
HR.KA,0.12477956712245941,0.013509443097273106,0.0
HR.KK,0.07356918603181839,0.026890682832648356,0.0
HR.KZ,0.03420484811067581,0.004378733195647198,0.0
HR.LS,0.047217391431331635,0.00294889000650208,0.0
HR.ME,0.04949183389544487,0.020312299577718868,0.0
HR.OB,0.042619623243808746,0.0035804475195828464,0.0
HR.PS,0.028860805556178093,0.005318604269100783,0.0
HR.PG,0.09263195842504501,0.006918782090960598,0.0
HR.SB,0.06457787752151489,0.002709782245887027,0.0
HR.SM,0.2450694441795349,0.026049544682609848,0.0
HR.SD,0.22029565274715424,0.022988219637969258,0.0
HR.VA,0.04949183389544487,0.0076958579639970345,0.0
HR.VP,0.07356918603181839,0.008057811967746326,0.0
HR.VS,0.014576331712305546,0.0004435521601927966,0.0
HR.ZD,0.08695347607135773,0.005382212995768628,0.0
HR.ZG,0.27984926104545593,0.024387937197492906,0.0
