HASC_1,Max,Mean,Min
IN.AN,0.6835851669311523,0.0008863886216724552,0.0
IN.AP,0.15752100944519043,0.000223079052722637,0.0
IN.AR,2.952423572540283,0.025481329970697478,0.0
IN.AS,2.952423572540283,0.008782870031245693,0.0
IN.BR,0.00028571425355039537,1.5141189907281154e-07,0.0
IN.CH,0.0,0.0,0.0
IN.CT,0.2430800050497055,0.0007213188230728752,0.0
IN.DN,0.0,0.0,0.0
IN.DD,0.0,0.0,0.0
IN.GA,0.02428571507334709,0.000673469395509788,0.0
IN.GJ,0.27642855048179626,0.00041484611079176055,0.0
IN.HR,0.0,0.0,0.0
IN.HP,0.5291142463684082,0.02436418553457077,0.0
IN.JK,2.0328001976013184,0.04821081724699558,0.0
IN.JH,0.0,0.0,0.0
IN.KA,0.40857142210006714,0.00013708961588512782,0.0
IN.KL,0.2521373927593231,0.0014755074972894982,0.0
IN.LD,0.017197106033563614,2.89026992160733e-05,0.0
IN.MP,0.07434432208538055,2.1653605645961975e-05,0.0
IN.MH,0.19825153052806854,0.00017477221203496658,0.0
IN.MN,0.05614360794425011,0.00021275472582170838,0.0
IN.ML,0.0,0.0,0.0
IN.MZ,0.0,0.0,0.0
IN.NL,0.6721917390823364,0.02143304798182247,0.0
IN.DL,0.0,0.0,0.0
IN.OR,0.18639764189720154,0.0014732371217260924,0.0
IN.PY,0.026367751881480217,1.549911917747509e-05,0.0
IN.PB,0.0,0.0,0.0
IN.RJ,0.0,0.0,0.0
IN.SK,0.03662857040762901,0.0010176981009532358,0.0
IN.TN,3.602801561355591,0.03582813212239491,0.0
IN.TG,0.4785296618938446,0.005392457059893112,0.0
IN.TR,0.0,0.0,0.0
IN.UP,0.0,0.0,0.0
IN.UT,0.34711429476737976,0.0027038422369407063,0.0
IN.WB,0.10631308704614639,0.00042013447406860025,0.0
