HASC_1,Max,Mean,Min
JP.AI,0.0,0.0,0.0
JP.AK,0.9317099452018738,-3.127006898101707,-217.38363647460938
JP.AO,0.9137924313545227,0.06553779882347832,0.0
JP.CH,0.0,0.0,0.0
JP.EH,0.0,0.0,0.0
JP.FI,0.0,0.0,0.0
JP.FO,0.0,0.0,0.0
JP.FS,0.1080312430858612,0.001479340225564869,0.0
JP.GF,0.005652173887938261,0.0001277786006944047,0.0
JP.GM,0.0,0.0,0.0
JP.HS,0.0,0.0,0.0
JP.HK,1.2822951078414917,-2.1043665215565883,-217.38914489746094
JP.HG,0.0,0.0,0.0
JP.IB,0.2641304135322571,0.0034298745552529086,0.0
JP.IS,0.0,0.0,0.0
JP.IW,0.9137924313545227,-2.325433008058961,-217.38363647460938
JP.KG,0.0,0.0,0.0
JP.KS,0.019535863772034645,7.506924255531475e-05,0.0
JP.KN,0.0,0.0,0.0
JP.KC,0.0,0.0,0.0
JP.KM,0.0,0.0,0.0
JP.KY,0.0,0.0,0.0
JP.ME,0.0,0.0,0.0
JP.MG,0.37662920355796814,0.013284529444689934,0.0
JP.MZ,0.0,0.0,0.0
JP.NN,0.04543478041887283,-3.050165996751993,-217.38914489746094
JP.NS,0.002148254308849573,3.985629447995891e-06,0.0
JP.NR,0.0,0.0,0.0
JP.NI,0.04692654684185982,-0.9525614859046247,-217.38914489746094
JP.OT,0.0,0.0,0.0
JP.OY,0.0,0.0,0.0
JP.ON,0.07806454598903656,0.0001478276040389199,0.0
JP.OS,0.0,0.0,0.0
JP.SG,0.0,0.0,0.0
JP.ST,0.0,0.0,0.0
JP.SH,0.0,0.0,0.0
JP.SM,0.0,0.0,0.0
JP.SZ,0.2623860538005829,4.312068509289701e-05,0.0
JP.TC,0.000783069059252739,2.134470475937648e-05,0.0
JP.TS,0.0,0.0,0.0
JP.TK,0.0,0.0,0.0
JP.TT,0.0,0.0,0.0
JP.TY,0.0,-9.881324768066406,-217.38914489746094
JP.WK,0.0,0.0,0.0
JP.YT,0.9317099452018738,-3.6056196195596084,-217.38914489746094
JP.YC,0.0,0.0,0.0
JP.YN,0.0,0.0,0.0
