HASC_1,Max,Mean,Min
SE.BL,0.06816308200359344,0.004845169212330802,0.0
SE.KO,0.026428570970892906,-3404.220519742156,-9999.8994140625
SE.GV,0.10155915468931198,-3963.0248835881475,-9999.8994140625
SE.GT,0.021797405555844307,0.0010343858101748537,0.0
SE.HA,0.02692975290119648,0.0010167612737767282,0.0
SE.JA,0.32357144355773926,-5855.060621367901,-9999.8994140625
SE.JO,0.18714284896850586,0.009470297804453381,0.0
SE.KA,0.05551200360059738,0.0013770697399354504,0.0
SE.KR,0.034182384610176086,0.0011838392114291738,0.0
SE.NB,0.0,-6516.788382198034,-9999.8994140625
SE.OR,0.19571428000926971,0.009426055666626354,0.0
SE.OG,0.2264285832643509,0.010171434740490606,0.0
SE.SN,0.4499387741088867,0.087858906116151,0.0
SE.SD,0.14572975039482117,0.017438002407830066,0.0
SE.ST,0.13928569853305817,0.02309158839039703,0.0
SE.UP,0.13928569853305817,0.00873591731717207,0.0
SE.VR,0.11999998986721039,-1241.3630702568796,-9999.8994140625
SE.VB,0.04357143118977547,-5558.502616388151,-9999.8994140625
SE.VN,0.06642857939004898,-5369.510742370944,-9999.8994140625
SE.VM,0.14572975039482117,0.011539037959700802,0.0
SE.VG,0.2264285832643509,0.014526102190882956,0.0
