GID_0,Max,Mean,Min
USA,285.3597717285156,285.1682357788086,284.75982666015625
USA,290.34820556640625,288.21165161132814,286.0209045410156
USA,284.8356628417969,284.60642496744794,284.30889892578125
USA,285.3070373535156,285.22434997558594,285.14166259765625
USA,284.5301818847656,284.2596130371094,283.95074462890625
USA,284.8356628417969,284.66300201416016,284.30889892578125
USA,285.2799987792969,285.27716064453125,285.2743225097656
USA,283.8976745605469,283.68353271484375,283.4693908691406
USA,283.8449401855469,283.7527770996094,283.6606140136719
USA,283.8976745605469,283.5,283.1712951660156
USA,285.3070373535156,284.85406494140625,284.2077331542969
USA,285.54010009765625,285.39439392089844,285.31695556640625
USA,286.0209045410156,285.6282145182292,285.3236389160156
USA,283.7936706542969,283.7936706542969,283.7936706542969
USA,283.8976745605469,283.70533752441406,283.4693908691406
USA,285.3602600097656,285.0174865722656,284.6747131347656
USA,284.9259948730469,284.44200642903644,283.9377136230469
USA,285.6097717285156,285.4369125366211,285.2743225097656
USA,284.75982666015625,284.18971252441406,283.7936706542969
USA,287.5578308105469,286.1982421875,285.2743225097656
USA,285.58355712890625,285.22783203125,284.6747131347656
USA,284.5301818847656,284.17181396484375,283.9084167480469
USA,285.3602600097656,284.9267807006836,284.6747131347656
USA,285.3597717285156,285.3043721516927,285.2463073730469
USA,283.5648498535156,283.31856536865234,283.1413269042969
USA,285.2463073730469,284.70912170410156,283.99761962890625
USA,287.6034240722656,286.47509765625,285.58355712890625
USA,284.29791259765625,283.92779541015625,283.5648498535156
USA,284.8337097167969,284.68194580078125,284.5301818847656
USA,284.9259948730469,284.74359130859375,284.4623107910156
USA,287.2152404785156,285.8627395629883,284.83648681640625
USA,285.7013854980469,285.33058166503906,284.81988525390625
USA,285.3968811035156,285.1836242675781,284.81988525390625
USA,284.83648681640625,284.83607482910156,284.8356628417969
USA,286.0389709472656,285.4119059244792,284.83648681640625
USA,283.7162170410156,283.39842224121094,283.1413269042969
USA,285.14166259765625,284.54437255859375,284.2077331542969
USA,285.21246337890625,284.9080581665039,284.6759948730469
USA,285.0526428222656,284.52602132161456,283.87896728515625
USA,284.9259948730469,284.42054748535156,283.9084167480469
USA,284.30889892578125,284.0504862467448,283.8449401855469
USA,283.9377136230469,283.82696533203125,283.7162170410156
USA,285.3597717285156,285.29346720377606,285.2463073730469
USA,284.8327331542969,284.2460479736328,283.8449401855469
USA,283.95074462890625,283.83348083496094,283.7162170410156
USA,285.54010009765625,285.3873519897461,285.2526550292969
USA,284.9100646972656,284.8065897623698,284.6759948730469
USA,283.95074462890625,283.5932846069336,283.1413269042969
USA,289.70269775390625,287.53546142578125,286.0209045410156
USA,286.0209045410156,285.6126937866211,285.2799987792969
USA,285.2743225097656,284.79758707682294,283.99761962890625
USA,283.95074462890625,283.8782730102539,283.7162170410156
USA,285.3968811035156,285.32908630371094,285.2526550292969
USA,285.7013854980469,285.2231689453125,284.81988525390625
USA,284.8327331542969,284.75372314453125,284.6747131347656
USA,283.7936706542969,283.64122517903644,283.4693908691406
USA,284.30889892578125,284.0164108276367,283.6440124511719
USA,284.29791259765625,284.0492477416992,283.7936706542969
USA,285.14166259765625,284.5491027832031,284.2077331542969
USA,285.54840087890625,285.37872314453125,285.2526550292969
USA,284.29791259765625,284.0492477416992,283.7936706542969
USA,284.8327331542969,284.0259155273437,283.6606140136719
USA,285.14166259765625,284.83135986328125,284.5301818847656
USA,284.9100646972656,284.54559326171875,283.9084167480469
USA,286.0436706542969,285.7320785522461,285.3236389160156
