iso3,Max,Mean,Min
ABW,0,0,0
AFG,5615466265444352.0,1826670047259003.8,0.0
AGO,7173748583038976.0,1534762688559335.8,0.0
AIA,2612577334984704.0,1598299970732032.0,0.0
ALA,4523254471458816.0,2434563342283571.0,0.0
ALB,6883544085299200.0,2426525754517690.0,0.0
AND,0.0,0.0,0.0
ARE,9216831239749632.0,610198542175589.2,0.0
ARG,1.1976957612785664e+16,954942903483182.8,0.0
ARM,5538334021517312.0,1471193484497960.2,0.0
ASM,2787101183574016.0,83693229987723.28,0.0
ATA,1454209354432512.0,160162526593.18472,0.0
ATF,2372231501971456.0,1101751182622.5647,0.0
ATG,2809725729112064.0,964454938312704.0,0.0
AUS,2.517225571352576e+16,720669281133715.6,0.0
AUT,7933501454155776.0,2335948791079842.5,0.0
AZE,5538334021517312.0,444517093964667.5,0.0
BDI,3966798240153600.0,2156937553291946.8,0.0
BEL,8406358562963456.0,2502276727963648.0,0.0
BEN,4254284292030464.0,1615249146823677.0,0.0
BES,2369728341344256.0,17380619534554.453,0.0
BFA,4410043696939008.0,1583476659472487.5,0.0
BGD,4842242766274560.0,1705235637183033.2,0.0
BGR,4036162230419456.0,853073773755184.1,0.0
BHR,0.0,0.0,0.0
BHS,5446115168092160.0,658996113124124.9,0.0
BIH,5727632020733952.0,2056829597505796.0,0.0
BLM,2465647845965824.0,2465647845965824.0,2465647845965824.0
BLR,7244981152514048.0,3248437497608274.0,0.0
BLZ,4119612102803456.0,1804404468901478.5,0.0
BMU,4420945666113536.0,3299535006728192.0,0.0
BOL,6849104353165312.0,937828654182644.6,0.0
BRA,1.875767051734221e+16,854952885853040.6,0.0
BRB,2366313573908480.0,1758710724558848.0,0.0
BRN,3916687782969344.0,2129100078439901.8,0.0
BTN,4853164868108288.0,2082347996793436.8,0.0
BVT,1932499194216448.0,1932499194216448.0,1932499194216448.0
BWA,5831129995149312.0,1738432450559124.5,0.0
CAF,4037861695291392.0,1020726574900407.2,0.0
CAN,1.0651644521873408e+16,2035400029734670.8,0.0
CCK,1741095050412032.0,1691012913168384.0,1640930775924736.0
CHE,5380360829403136.0,2544895344018366.0,0.0
CHL,9380317022388224.0,135176321352543.36,0.0
CHN,5.321857039754854e+16,1826958310012494.2,0.0
CIV,3240094337073152.0,1682317914884665.5,0.0
CMR,5936949936259072.0,1050813227870057.8,0.0
COD,8288949726347264.0,1537629914852782.0,0.0
COG,4752588545196032.0,1168065909181303.2,0.0
COK,2698654385176576.0,27477368344136.59,0.0
COL,6182909828399104.0,796880534997969.8,0.0
COM,2161032390770688.0,772078073574663.4,0.0
CPV,3420484574117888.0,636160815031910.4,0.0
CRI,6478636580339712.0,757113939851737.4,0.0
CUB,6689889378631680.0,1389382287692843.5,0.0
CUW,0.0,0.0,0.0
CXR,1979534186381312.0,1900749990658048.0,1821965794934784.0
CYM,2960370096406528.0,654475667352234.6,0.0
CYP,5427876052598784.0,3975775340370899.5,0.0
CZE,8624546659696640.0,2612555837088790.5,0.0
DEU,7716628691156992.0,3218372797886597.0,0.0
DJI,3126231264395264.0,2393325270354212.5,0.0
DMA,2672761369526272.0,1650760792844970.8,0.0
DNK,8420466993659904.0,1924295634693547.0,0.0
DOM,2542843709095936.0,34362752825620.758,0.0
DZA,5508355149791232.0,1489502983196729.8,0.0
ECU,3463034815119360.0,446172536380966.3,0.0
EGY,1.56891665661952e+16,2568196689170482.5,0.0
ERI,4142826669473792.0,1038964942126323.8,0.0
ESH,4043367038058496.0,1460021235747280.8,0.0
ESP,6548012650201088.0,369428354514354.4,0.0
EST,6546719328174080.0,2899397009263821.0,0.0
ETH,4589738417717248.0,1356347290416143.0,0.0
FIN,9187646936973312.0,2536387688880168.0,0.0
FJI,3088210603278336.0,5527539023872.0,0.0
FLK,3074624816414720.0,788977908041500.5,0.0
FRA,7129581286850560.0,1890995727313023.8,0.0
FRO,4000573326098432.0,1818403898025574.5,0.0
FSM,3323570516131840.0,32563181281508.805,0.0
GAB,3712188552314880.0,1150463476812337.0,0.0
GBR,1.0679478057435136e+16,1198883856512461.0,0.0
GEO,6117994618945536.0,1741353137995776.0,0.0
GGY,6290928792764416.0,4810164407160013.0,0.0
GHA,3769968478912512.0,1787188094974435.0,0.0
GIB,5521201933844480.0,5521201933844480.0,5521201933844480.0
GIN,5193442242068480.0,1421230848980165.2,0.0
GLP,2880375525212160.0,1766112362496000.0,0.0
GMB,3019537029005312.0,1283636811396255.2,0.0
GNB,5193442242068480.0,1868962259795968.0,0.0
GNQ,3282295075110912.0,65028115758631.06,0.0
GRC,6622425642958848.0,334436949277096.75,0.0
GRD,3869510520012800.0,1834297820446720.0,0.0
GRL,5791949692862464.0,1087150483893339.1,0.0
GTM,5339528575320064.0,1544816384263782.5,0.0
GUF,3185343436161024.0,1400254519836672.0,0.0
GUM,2935843954098176.0,1707847395398997.2,0.0
GUY,3211686349635584.0,1068782214683196.4,0.0
HKG,2887666232197120.0,2341273795268153.0,0.0
HMD,0.0,0.0,0.0
HND,5412349745823744.0,948791055486792.6,0.0
HRV,8070405684199424.0,1457391720323229.5,0.0
HTI,3448197313724416.0,1548886093862593.5,0.0
HUN,6145644007784448.0,1063558553949883.5,0.0
IDN,9108207221866496.0,565684332701721.5,0.0
IMN,4863072820789248.0,3591497510638933.5,0.0
IND,1.794423377625088e+16,1074843042308043.1,0.0
IOT,2223844542644224.0,395460885453209.6,0.0
IRL,5300648920743936.0,1281301745284619.5,0.0
IRN,1.046199272472576e+16,1797487764523919.2,0.0
IRQ,1.518007335518208e+16,2568616015649084.0,0.0
ISL,4990639791931392.0,944859746858628.8,0.0
ISR,6446541900349440.0,2414641513644169.5,0.0
ITA,9813567553404928.0,1399967873483086.2,0.0
JAM,3769862983778304.0,1131159298237799.0,0.0
JEY,6250083653779456.0,4605865805165363.0,0.0
JOR,5739191925211136.0,2130388644449944.8,0.0
JPN,1.173300776534016e+16,418784535528134.25,0.0
KAZ,7747015584776192.0,1929015121752674.0,0.0
KEN,4508562462081024.0,1408169609622004.5,0.0
KGZ,6640733477928960.0,794345360061047.5,0.0
KHM,3040211927826432.0,118672690323666.05,0.0
KIR,3081514212392960.0,1009197035520.32,0.0
KNA,2511950277771264.0,1783215996010496.0,0.0
KOR,1.7730864095952896e+16,2464946430234732.0,0.0
KWT,1.2547218674286592e+16,4649361699112993.0,0.0
LAO,4973260206768128.0,150197354069318.8,0.0
LBN,8780959168069632.0,3520566827877689.5,0.0
LBR,3035526923812864.0,1072531678365789.8,0.0
LBY,5618548441350144.0,2252267677097790.5,0.0
LCA,2707288074747904.0,2162752077780309.2,0.0
LIE,4206572037210112.0,3088492527616000.0,0.0
LKA,0.0,0.0,0.0
LSO,6021221489573888.0,2504762524731528.5,0.0
LTU,6550425348079616.0,3034080851762038.0,0.0
LUX,5412976274178048.0,2850672806461440.0,0.0
LVA,6437836538511360.0,2790275540215398.5,0.0
MAC,2622069481144320.0,2622069481144320.0,2622069481144320.0
MAF,2501639940341760.0,2493778539577344.0,2485917138812928.0
MAR,5913962197549056.0,1641208062062895.0,0.0
MCO,4953364307640320.0,4716808246394880.0,4480252185149440.0
MDA,6093753286656000.0,1964567624660603.5,0.0
MDG,4987212408029184.0,1524883783137327.0,0.0
MDV,3477457315299328.0,954925694932309.4,0.0
MEX,8714523540193280.0,1166785319530851.2,0.0
MHL,2682061852770304.0,95502284899989.31,0.0
MKD,2407849665757184.0,114659507893199.23,0.0
MLI,3996903276544000.0,1211149778601011.8,0.0
MLT,4708251597799424.0,2935301669737813.5,0.0
MMR,6048180999290880.0,1057060934806801.8,0.0
MNE,4135669106475008.0,1633078721594833.5,0.0
MNG,6232608505593856.0,1834891160364511.5,0.0
MNP,3108263805583360.0,278886902657883.66,0.0
MOZ,8418184755412992.0,836115767689642.2,0.0
MRT,3786194328485888.0,1727656324964708.2,0.0
MSR,2413838997651456.0,2255656492990464.0,2097473988329472.0
MTQ,2866644783202304.0,2706350698135552.0,2485637160632320.0
MUS,3185722198589440.0,22650086727991.43,0.0
MWI,2978196895039488.0,361909654448053.25,0.0
MYS,1.0416787120193536e+16,811095553127723.4,0.0
MYT,2304066076016640.0,1775275272568832.0,0.0
NAM,4118651372306432.0,826144888983632.1,0.0
NCL,3590895723085824.0,92938284964769.17,0.0
NER,4977537994194944.0,1318708036888742.0,0.0
NFK,3083660890734592.0,2972286885822464.0,2860912880910336.0
NGA,5936949936259072.0,1448319208176276.5,0.0
NIC,4355513986842624.0,1220405762947090.0,0.0
NIU,2628626554028032.0,2624559488434176.0,2620492422840320.0
NLD,9776231402700800.0,3134265673101627.0,0.0
NOR,8652422071189504.0,909261983676103.0,0.0
NPL,9085996872237056.0,2385838117809966.5,0.0
NRU,2080879845310464.0,2080879845310464.0,2080879845310464.0
NZL,4370851315056640.0,7315028997934.217,0.0
OMN,9216831239749632.0,773871712019041.5,0.0
PAK,5729533080633344.0,1177472722524691.0,0.0
PAN,3403655281639424.0,1490698234497835.8,0.0
PCN,2213998598553600.0,59615043537687.89,0.0
PER,4128817828331520.0,1062721249774994.4,0.0
PHL,6763863747854336.0,804877934470122.6,0.0
PLW,2171520969342976.0,59667696456438.516,0.0
PNG,3256768205422592.0,632237686295767.0,0.0
POL,6811422457593856.0,3248767857045819.0,0.0
PRI,3751624673591296.0,1050435131958886.4,0.0
PRK,1.0286517540880384e+16,1583983455608314.8,0.0
PRT,7548944577986560.0,172808407116324.8,0.0
PRY,5607638150676480.0,610077496139542.0,0.0
PSE,6459445592719360.0,2983146888674325.0,0.0
PYF,2585168195878912.0,52647046980344.95,0.0
QAT,0.0,0.0,0.0
REU,3001083970453504.0,1775856547179178.8,0.0
ROU,5331448131223552.0,1424702266481588.8,0.0
RUS,1.254478342782976e+16,833699323791857.2,0.0
RWA,3377108894089216.0,1602121425573205.2,0.0
SAU,1.864663272783872e+16,1704338594737593.5,0.0
SDN,6243422696374272.0,1563197271518467.8,0.0
SEN,3811674221969408.0,1678594614498225.2,0.0
SGP,1.0416787120193536e+16,6022849461136043.0,0.0
SGS,1747129076809728.0,28720517338876.47,0.0
SHN,3243553933230080.0,4955754220102.475,0.0
SJM,5238905007767552.0,359203010169824.6,0.0
SLB,3358026622828544.0,33728793992613.125,0.0
SLE,3070461919363072.0,1653282553154379.2,0.0
SLV,5709262982479872.0,2453213437747448.0,0.0
SMR,5485834488774656.0,5440053895495680.0,5394273302216704.0
SOM,3507490947858432.0,954157126248994.4,0.0
SPM,2848052943519744.0,1424026471759872.0,0.0
SRB,5971452482289664.0,519340495683861.7,0.0
SSD,4006980075126784.0,730276467480004.8,0.0
STP,0.0,0.0,0.0
SUR,3211686349635584.0,1385190551243333.5,0.0
SVK,4429597072424960.0,52112906734411.3,0.0
SVN,9813567553404928.0,2819092892288313.5,0.0
SWE,6546826165485568.0,2054393496649695.2,0.0
SWZ,7950629246861312.0,4508333352419328.0,0.0
SXM,2501639940341760.0,1863301231280128.0,0.0
SYC,2838382556217344.0,74287012021437.62,0.0
SYR,8780959168069632.0,2635162704011431.0,0.0
TCA,0.0,0.0,0.0
TCD,4764992947617792.0,1729310449877656.5,0.0
TGO,4113779805650944.0,1586205563859659.2,0.0
THA,7306592458375168.0,1021445108488798.8,0.0
TJK,8591281601118208.0,1329287386138158.0,0.0
TKL,1956920244043776.0,324938804232192.0,0.0
TKM,5832375535665152.0,2163509896865156.5,0.0
TLS,2876013449052160.0,849963200753413.2,0.0
TON,2252009461776384.0,8100753459627.28,0.0
TTO,4614699157028864.0,1431953324945108.2,0.0
TUN,5355645976969216.0,2582746097587257.0,0.0
TUR,1.1422456933777408e+16,2958575173279395.0,0.0
TUV,2784388374855680.0,67691235103092.37,0.0
TWN,3307530960764928.0,469505995715617.5,0.0
TZA,4431298147909632.0,1050885813571239.4,0.0
UGA,3925761438253056.0,615511761556579.6,0.0
UKR,7549293007208448.0,2480777598443571.5,0.0
UMI,3605003616911360.0,284342936196.0319,0.0
URY,1.875767051734221e+16,1171666467334273.5,0.0
USA,1.0178888881668096e+16,196621373948571.47,0.0
UZB,9855510056534016.0,1493644495993104.0,0.0
VAT,4777736652455936.0,4777736652455936.0,4777736652455936.0
VCT,2950680918622208.0,2229674776199168.0,0.0
VEN,6444601648873472.0,642678410029032.4,0.0
VGB,3054849176371200.0,1910344365987157.2,0.0
VIR,3051907660644352.0,1767175411641002.8,0.0
VNM,6704338722357248.0,597993042908947.5,0.0
VUT,2434827160649728.0,341219377505020.56,0.0
WLF,2318205645225984.0,129345871855294.75,0.0
WSM,2480654461698048.0,884511695187077.6,0.0
XAD,5427876052598784.0,1834666380090845.8,0.0
XCA,5641875482476544.0,995344092048869.5,0.0
XCL,1809179945730048.0,1809179945730048.0,1809179945730048.0
XKO,2393816665423872.0,113991269782089.14,0.0
XNC,5427876052598784.0,2664742655642586.0,0.0
XPI,3366838821978112.0,521010932283567.56,0.0
XSP,2662509551026176.0,445666176969386.7,0.0
YEM,4562031046819840.0,1330283941030668.2,0.0
ZAF,2.4995062542761984e+16,2129939808726722.2,0.0
ZMB,3568502568910848.0,1304392685843773.0,0.0
ZWE,4568909973815296.0,1478947251788866.5,0.0
