iso3,Max,Mean,Min
ABW,3424250723565568.0,2364648301002752.0,1950743544201216.0
AFG,6156689053057024.0,1100010359877083.1,0.0
AGO,5419856811786240.0,922313810517694.4,0.0
AIA,0.0,0.0,0.0
ALA,0.0,0.0,0.0
ALB,4701509572886528.0,1387436273505201.2,0.0
AND,0.0,0.0,0.0
ARE,0.0,0.0,0.0
ARG,6428285604986880.0,1454359455434418.0,0.0
ARM,1.0573622145974272e+16,1319960471941315.0,0.0
ASM,0.0,0.0,0.0
ATA,5762939873132544.0,2663830890675668.0,0.0
ATF,4307288214994944.0,1284852451081.9294,0.0
ATG,0.0,0.0,0.0
AUS,8242717624631296.0,735605888670660.6,0.0
AUT,1.1443837280976896e+16,2068136449356954.2,0.0
AZE,1.1025106960646144e+16,793752115902917.9,0.0
BDI,2998348344721408.0,1128086049730670.8,0.0
BEL,1.0457698831171584e+16,602275346815215.4,0.0
BEN,6145191425605632.0,2085740731729229.2,0.0
BES,0.0,0.0,0.0
BFA,4790354729500672.0,1431695715715647.2,0.0
BGD,7584396848660480.0,1856043857701954.2,0.0
BGR,0.0,0.0,0.0
BHR,0.0,0.0,0.0
BHS,3626387722207232.0,439684324995372.4,0.0
BIH,9412076158058496.0,1753842690277710.2,0.0
BLM,0,0,0
BLR,5790745491406848.0,1105530587268666.9,0.0
BLZ,0.0,0.0,0.0
BMU,0.0,0.0,0.0
BOL,5967744851771392.0,1198049321054369.2,0.0
BRA,1.0492407535632384e+16,365621784589965.06,0.0
BRB,0.0,0.0,0.0
BRN,2936333848805376.0,1154037134417175.2,0.0
BTN,3550001728847872.0,1405415843384961.8,0.0
BVT,0,0,0
BWA,5930814575476736.0,1688152045980333.0,0.0
CAF,9623455121014784.0,1959063797805271.8,0.0
CAN,4359979679088640.0,224144950556266.53,0.0
CCK,0,0,0
CHE,1.4790991194095616e+16,1647829081536739.5,0.0
CHL,6010801898913792.0,136336615857179.39,0.0
CHN,4.255221668642816e+16,875023643319382.5,0.0
CIV,6610524288581632.0,1692624918325626.2,0.0
CMR,7898877038428160.0,407287690554836.2,0.0
COD,2.986901934755021e+16,1204406545456047.0,0.0
COG,4833061736808448.0,1066816729636387.9,0.0
COK,2494406946979840.0,12679068571060.312,0.0
COL,9451744476004352.0,630739489021361.5,0.0
COM,0.0,0.0,0.0
CPV,2546549997436928.0,440530755597107.2,0.0
CRI,0.0,0.0,0.0
CUB,3608740775329792.0,1003277426406393.8,0.0
CUW,0.0,0.0,0.0
CXR,2470569341616128.0,2388752630546432.0,2306935919476736.0
CYM,2309263523315712.0,607222906923690.6,0.0
CYP,0.0,0.0,0.0
CZE,1.1944124735291392e+16,2494162160434272.5,0.0
DEU,1.2663134472896512e+16,2008230203029566.0,0.0
DJI,3585773437714432.0,1635226790920192.0,0.0
DMA,0.0,0.0,0.0
DNK,2287153300111360.0,113396503658358.31,0.0
DOM,4161661443244032.0,707269683576832.0,0.0
DZA,5413835267637248.0,705120231908980.9,0.0
ECU,3246668858261504.0,135968291749318.12,0.0
EGY,2699799262396416.0,553246297165889.0,0.0
ERI,2551177019392000.0,28249257297514.22,0.0
ESH,3089662302224384.0,534193291859374.6,0.0
ESP,1.4682849286291456e+16,211731234984037.2,0.0
EST,5562874927775744.0,1174033225902659.5,0.0
ETH,2880984068390912.0,634257845855461.6,0.0
FIN,6247770813890560.0,591696943094683.6,0.0
FJI,3857669563613184.0,6799021010318.398,0.0
FLK,0.0,0.0,0.0
FRA,2.799255457837875e+16,1126826249544713.2,0.0
FRO,423384588484608.0,23521366026922.668,0.0
FSM,3250157445447680.0,23819884194220.05,0.0
GAB,4686827227185152.0,702575346634367.2,0.0
GBR,5382689238548480.0,134659653770156.97,0.0
GEO,1.1025106960646144e+16,698654854565289.8,0.0
