iso3,Max,Mean,Min
ABW,0,0,0
AFG,2928477548314624.0,323287096367314.5,0.0
AGO,4.425116830977229e+16,1391848737576873.5,0.0
AIA,453176964677632.0,197371319986858.66,0.0
ALA,1178077317038080.0,405609088668020.4,0.0
ALB,3825558509060096.0,846717958970279.5,0.0
AND,2574657068728320.0,1254405529665536.0,0.0
ARE,5249546326114304.0,1101292507668427.9,0.0
ARG,1.3499212134088704e+16,271138000291288.44,0.0
ARM,2104024484544512.0,346222063897280.5,0.0
ASM,294757263736832.0,7549512562202.392,0.0
ATA,0.0,0.0,0.0
ATF,619046051512320.0,615672616220.4788,0.0
ATG,794246357450752.0,183127512711168.0,0.0
AUS,8254242632499200.0,208922607210885.0,0.0
AUT,2561534333026304.0,136694271545180.16,0.0
AZE,2436442068353024.0,734120853722453.4,0.0
BDI,2759491791618048.0,795553032558939.8,0.0
BEL,4885842589908992.0,1140889508883988.5,0.0
BEN,1874047105236992.0,430845865718713.9,0.0
BES,540533009154048.0,2716780628718.0264,0.0
BFA,2597412073897984.0,169492458144906.75,0.0
BGD,9129618707578880.0,1020397038912677.5,0.0
BGR,3298494349574144.0,1127579206741846.2,0.0
BHR,6216036911153152.0,3441807476129792.0,0.0
BHS,1393547638996992.0,34269338778555.734,0.0
BIH,2851690780819456.0,398857819369787.06,0.0
BLM,249111810932736.0,249111810932736.0,249111810932736.0
BLR,1771835339309056.0,153131810502770.03,0.0
BLZ,903587165110272.0,323836481215476.25,0.0
BMU,806317094600704.0,500342642966528.0,0.0
BOL,6731557003853824.0,339658473378777.3,0.0
BRA,8435438712782848.0,213404049780096.38,0.0
BRB,436528195043328.0,227836354887680.0,0.0
BRN,2450642840846336.0,423183463981800.75,0.0
BTN,2000646366560256.0,347824230616807.44,0.0
BVT,749231476310016.0,749231476310016.0,749231476310016.0
BWA,6572358672318464.0,359228552935517.44,0.0
CAF,2892726508978176.0,99964365188545.34,0.0
CAN,1.963729914691584e+16,294762314328608.0,0.0
CCK,445431259594752.0,445431259594752.0,445431259594752.0
CHE,2018086081265664.0,218737117049380.94,0.0
CHL,6249911318216704.0,25019468917954.066,0.0
CHN,2.136851241710387e+16,556370362227593.3,0.0
CIV,1360273990483968.0,280470877860321.03,0.0
CMR,1908910831173632.0,140425091032423.56,0.0
COD,5.480110693233459e+16,1177610931865679.8,0.0
COG,5910242755870720.0,568382751619200.6,0.0
COK,432068240605184.0,1377939280590.6355,0.0
COL,2668913347264512.0,69413914391717.09,0.0
COM,691120031924224.0,122291442559970.75,0.0
CPV,1035747402448896.0,81966835291577.55,0.0
CRI,1973586327764992.0,154040685893889.2,0.0
CUB,4887011894755328.0,272603724524796.78,0.0
CUW,2304085134934016.0,1076005607309312.0,0.0
CXR,0,0,0
CYM,1457137448386560.0,121018397596057.6,0.0
CYP,1442928622829568.0,1012214191707477.4,0.0
CZE,2561534333026304.0,757719743484460.2,0.0
DEU,4701668486676480.0,697909782883486.0,0.0
DJI,1433808393994240.0,374189987255431.25,0.0
DMA,942954164256768.0,369974410827093.3,0.0
DNK,3408000177930240.0,880791865861266.2,0.0
DOM,2552748708986880.0,503914839041638.4,0.0
DZA,2837584766042112.0,436662508465773.0,0.0
ECU,2487841015726080.0,108931000054119.3,0.0
EGY,3982375281229824.0,1112333403749492.6,0.0
ERI,1844726303031296.0,261340788771360.1,0.0
ESH,1127962296451072.0,165445643894332.28,0.0
ESP,1.006348955287552e+16,149101953145473.4,0.0
EST,2190528615546880.0,535931306979612.2,0.0
ETH,3425011738083328.0,312839249307790.2,0.0
FIN,2595082054139904.0,489157383449968.56,0.0
FJI,922645679833088.0,232375049610.40662,0.0
FLK,0.0,0.0,0.0
FRA,3387220857716736.0,459502409096160.75,0.0
FRO,3047514714406912.0,542836052066304.0,0.0
FSM,1196633857458176.0,4252705236180.65,0.0
GAB,1483348157399040.0,262781287712812.84,0.0
GBR,5907992193007616.0,417540344132700.56,0.0
GEO,3247550668734464.0,344490989874415.7,0.0
GGY,2387534738882560.0,1516461281509376.0,0.0
GHA,1330712938545152.0,40106709309300.08,0.0
GIB,0,0,0
GIN,1649586745638912.0,233177133507229.0,0.0
GLP,802448067264512.0,282097778032640.0,0.0
GMB,641912323178496.0,162322181809127.03,0.0
GNB,708145349394432.0,243764934577549.56,0.0
GNQ,407941194711040.0,13731331919156.826,0.0
GRC,3402557649059840.0,595225092188824.0,0.0
GRD,1033196594528256.0,312675903900578.94,0.0
GRL,1405997138575360.0,28746728904997.11,0.0
GTM,1536476634415104.0,331033885036759.56,0.0
GUF,1099909516230656.0,211043446181024.22,0.0
GUM,0.0,0.0,0.0
GUY,895275866521600.0,97576499944589.31,0.0
HKG,3802166774988800.0,1959239884297557.2,0.0
HMD,196793656672256.0,75277660411221.33,0.0
HND,1660537167413248.0,205641627895331.9,0.0
HRV,3357421569310720.0,118778344702656.69,0.0
HTI,2796064243449856.0,908730815533254.9,0.0
HUN,1820345115869184.0,411025669106539.6,0.0
IDN,3543492437475328.0,117666544109252.39,0.0
IMN,1336538793246720.0,810517807497216.0,0.0
IND,1.4830743263903744e+16,678751882478778.9,0.0
IOT,598488391876608.0,54022825999254.07,0.0
IRL,3014073562169344.0,498300945943590.9,0.0
IRN,7524444473917440.0,933283324378341.5,0.0
IRQ,6146532529143808.0,321933420012835.8,0.0
ISL,2122017847377920.0,55226649670711.52,0.0
ISR,3612603561541632.0,963394093515302.8,0.0
ITA,4341531452375040.0,148607899280633.16,0.0
JAM,0.0,0.0,0.0
JEY,1668210126487552.0,1110936486849194.6,0.0
JOR,4177188018454528.0,702886904160591.4,0.0
JPN,8674261979889664.0,86087171066202.66,0.0
KAZ,5686636021022720.0,536136710437987.75,0.0
KEN,2056288070533120.0,351158788553146.56,0.0
KGZ,3594071046094848.0,817531164468902.6,0.0
KHM,2711742224269312.0,416722845156100.44,0.0
KIR,552284542992384.0,30562263689.935234,0.0
KNA,30772308213760.0,19586671443968.0,0.0
KOR,6437943375822848.0,733406985973921.4,0.0
KWT,1.1799963084259328e+16,3156112043864937.0,0.0
LAO,5072604947808256.0,337757926110234.4,0.0
LBN,7246543446867968.0,1720053960433162.5,0.0
LBR,893550162083840.0,145561192618287.12,0.0
LBY,5146464426655744.0,476270612934805.1,0.0
LCA,788473518751744.0,400290149477034.7,0.0
LIE,169615120400384.0,84807560200192.0,0.0
LKA,2319112420196352.0,390281146364748.2,0.0
LSO,2834218853859328.0,600050687818371.6,0.0
LTU,1527849521512448.0,230185850277432.88,0.0
LUX,1360308216004608.0,424105508037238.1,0.0
LVA,1542318192590848.0,215711743145624.56,0.0
MAC,722169357139968.0,722169357139968.0,722169357139968.0
MAF,453176964677632.0,436045078331392.0,418913191985152.0
MAR,2229757638868992.0,155888411909299.3,0.0
MCO,1538798601109504.0,1354271639470080.0,1169744677830656.0
MDA,2362874915717120.0,532940113879754.2,0.0
MDG,3262939804991488.0,330994616801623.06,0.0
MDV,0.0,0.0,0.0
MEX,4451953719377920.0,172084100198873.03,0.0
MHL,888597662138368.0,6812895477331.193,0.0
MKD,3622434741682176.0,1619200891095360.8,0.0
MLI,2845043513622528.0,224996648662643.62,0.0
MLT,1167186756370432.0,539789624134860.8,0.0
MMR,3663218677383168.0,65406313093735.836,0.0
MNE,3566091750080512.0,377308786808149.3,0.0
MNG,3654814231691264.0,429871346068917.4,0.0
MNP,0.0,0.0,0.0
MOZ,1436246459023360.0,152348494868309.12,0.0
MRT,1943622756859904.0,277708916915143.0,0.0
MSR,796938630856704.0,631587859333120.0,466237087809536.0
MTQ,562902239019008.0,314358842261504.0,79436670042112.0
MUS,699216179494912.0,934595841098.0548,0.0
MWI,1580545280573440.0,248584653436949.12,0.0
MYS,5076027499872256.0,276453161223725.28,0.0
MYT,998032019554304.0,446657622354602.7,0.0
NAM,1721535098257408.0,257476906582040.1,0.0
NCL,867174835027968.0,24697541916119.363,0.0
NER,2371788315033600.0,339094443371821.5,0.0
NFK,324911289597952.0,323134532091904.0,321357774585856.0
NGA,2617742033158144.0,600516108801942.2,0.0
NIC,1741269533458432.0,235547290751402.28,0.0
NIU,275437880082432.0,240275519700992.0,205113159319552.0
