iso3,Max,Mean,Min
ABW,1101590056402944.0,908148269383680.0,695629613367296.0
AFG,2574634788585472.0,645448228373030.6,0.0
AGO,6.926618312310784e+16,1082845709839006.9,0.0
AIA,0.0,0.0,0.0
ALA,1919958292365312.0,606218227204460.1,0.0
ALB,2466824667004928.0,883226423977639.2,0.0
AND,1730113624342528.0,814592668904106.6,0.0
ARE,4334725539823616.0,796726646394786.6,0.0
ARG,1.0993445535481856e+16,241165028696069.1,0.0
ARM,2026888348303360.0,364652170546511.9,0.0
ASM,363736720211968.0,1945116150866.139,0.0
ATA,0.0,0.0,0.0
ATF,925950388731904.0,105847517932.72359,0.0
ATG,0.0,0.0,0.0
AUS,9133634502000640.0,167540660587665.8,0.0
AUT,4082237028958208.0,889392446356897.1,0.0
AZE,4377611862016000.0,565115737260724.2,0.0
BDI,1451273207414784.0,374930648231757.94,0.0
BEL,5023908608606208.0,1102275749751651.8,0.0
BEN,2157683390021632.0,343413261947023.2,0.0
BES,468575395512320.0,1778565603265.4656,0.0
BFA,2157683390021632.0,384571459279296.94,0.0
BGD,3465536365133824.0,234515916319662.72,0.0
BGR,5375211700486144.0,877784937575079.8,0.0
BHR,3902793295331328.0,2064694328164352.0,0.0
BHS,2091750810189824.0,157213877773599.47,0.0
BIH,2233251863199744.0,725154827486583.6,0.0
BLM,0,0,0
BLR,992512516816896.0,102705462998816.95,0.0
BLZ,0.0,0.0,0.0
BMU,0.0,0.0,0.0
BOL,4696852217724928.0,199011380549644.06,0.0
BRA,6104645323718656.0,182397872350458.72,0.0
BRB,0.0,0.0,0.0
BRN,0.0,0.0,0.0
BTN,0.0,0.0,0.0
BVT,0,0,0
BWA,1453728183877632.0,244424901718550.25,0.0
CAF,1567585753628672.0,119316237379096.14,0.0
CAN,9911035393736704.0,201510423924270.25,0.0
CCK,0,0,0
CHE,3374932150976512.0,649660303655528.0,0.0
CHL,4422290796183552.0,13683212625613.94,0.0
CHN,1.7493871021785088e+16,438620674866115.1,0.0
CIV,2938038413950976.0,311834526790859.56,0.0
CMR,2338136172527616.0,71747646635332.45,0.0
COD,6.926618312310784e+16,805448019959603.6,0.0
COG,4134599928053760.0,212875411893932.56,0.0
COK,731738879819776.0,3581824133666.8716,0.0
COL,2210325193555968.0,80218965110355.55,0.0
COM,0.0,0.0,0.0
CPV,833322171236352.0,66668177329412.336,0.0
CRI,0.0,0.0,0.0
CUB,2899191776935936.0,466164496444108.3,0.0
CUW,500441334939648.0,190968926044160.0,0.0
CXR,678412700090368.0,577548832473088.0,476684964855808.0
CYM,757301451423744.0,115618891124201.73,0.0
CYP,0.0,0.0,0.0
CZE,5901338214924288.0,1282911017511005.5,0.0
DEU,8917566508498944.0,1481583929994722.5,0.0
DJI,1109541584371712.0,562598851089168.3,0.0
DMA,0.0,0.0,0.0
DNK,3126563855925248.0,688268069402290.4,0.0
DOM,3090856571568128.0,451673625516660.06,0.0
DZA,3162922633134080.0,311368680852816.4,0.0
ECU,4708929665761280.0,36135257593452.15,0.0
EGY,1962427331641344.0,636386341094808.2,0.0
ERI,1600274347065344.0,151887641827543.38,0.0
ESH,1365934623162368.0,89016355717217.97,0.0
ESP,5708966629736448.0,174391760126908.06,0.0
EST,1749492114128896.0,538902183318676.56,0.0
ETH,2547962236370944.0,204120147567572.1,0.0
FIN,6462230342139904.0,533729628216792.44,0.0
FJI,979350119776256.0,784032513094.9088,0.0
FLK,914109834985472.0,122854902972227.67,0.0
FRA,4283312096935936.0,173260302962064.56,0.0
FRO,0.0,0.0,0.0
FSM,1503421089710080.0,3097780599687.9263,0.0
GAB,3257365742747648.0,380509710973539.6,0.0
GBR,8662061051543552.0,155919110022706.1,0.0
GEO,3270907237761024.0,517339182344610.1,0.0
GGY,0.0,0.0,0.0
GHA,1551743229886464.0,243397109553477.22,0.0
GIB,1632395602165760.0,1632395602165760.0,1632395602165760.0
